MSG:1005,0,1,"MakeMKV v1.17.6 win(x86-release) started","%1 started","MakeMKV v1.17.6 win(x86-release)"
MSG:1004,131072,1,"Debug logging enabled, log will be saved as file://C:\\Users\\lufoust/MakeMKV_log_1.txt","Debug logging enabled, log will be saved as %1","file://C:\\Users\\lufoust/MakeMKV_log_1.txt"
MSG:1011,0,1,"You are running a 32-bit (x86) version of a program. Eventually this will be deprecated in upcoming versions, please upgrade to a processor manufactured during last 10 years...","%1","You are running a 32-bit (x86) version of a program. Eventually this will be deprecated in upcoming versions, please upgrade to a processor manufactured during last 10 years..."
MSG:5075,131072,2,"The new version 1.17.8 is available for download at http://www.makemkv.com/download/","The new version %1 is available for download at %2","1.17.8","http://www.makemkv.com/download/"
MSG:3307,0,2,"File 00126.mpls was added as title #82","File %1 was added as title #%2","00126.mpls","82"
MSG:3307,0,2,"File 00127.mpls was added as title #83","File %1 was added as title #%2","00127.mpls","83"
MSG:3307,0,2,"File 00128.mpls was added as title #84","File %1 was added as title #%2","00128.mpls","84"
MSG:3307,0,2,"File 00129.mpls was added as title #85","File %1 was added as title #%2","00129.mpls","85"
MSG:3307,0,2,"File 00143.mpls was added as title #86","File %1 was added as title #%2","00143.mpls","86"
MSG:3307,0,2,"File 00130.mpls was added as title #87","File %1 was added as title #%2","00130.mpls","87"
MSG:3307,0,2,"File 00132.mpls was added as title #88","File %1 was added as title #%2","00132.mpls","88"
MSG:3307,0,2,"File 00134.mpls was added as title #89","File %1 was added as title #%2","00134.mpls","89"
MSG:3307,0,2,"File 00135.mpls was added as title #90","File %1 was added as title #%2","00135.mpls","90"
MSG:3307,0,2,"File 00136.mpls was added as title #91","File %1 was added as title #%2","00136.mpls","91"
MSG:3307,0,2,"File 00139.mpls was added as title #92","File %1 was added as title #%2","00139.mpls","92"
MSG:3307,0,2,"File 00140.mpls was added as title #93","File %1 was added as title #%2","00140.mpls","93"
MSG:3307,0,2,"File 00147.mpls was added as title #94","File %1 was added as title #%2","00147.mpls","94"
MSG:3307,0,2,"File 00877.mpls was added as title #95","File %1 was added as title #%2","00877.mpls","95"
MSG:3307,0,2,"File 00878.mpls was added as title #96","File %1 was added as title #%2","00878.mpls","96"
MSG:3307,0,2,"File 00879.mpls was added as title #97","File %1 was added as title #%2","00879.mpls","97"
MSG:3307,0,2,"File 00101.mpls was added as title #98","File %1 was added as title #%2","00101.mpls","98"
MSG:3307,0,2,"File 00105.mpls was added as title #99","File %1 was added as title #%2","00105.mpls","99"
MSG:3307,0,2,"File 00107.mpls was added as title #100","File %1 was added as title #%2","00107.mpls","100"
MSG:3307,0,2,"File 00108.mpls was added as title #101","File %1 was added as title #%2","00108.mpls","101"
